GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_001,ru.job4j.array,FindLoop,0,23,0,4,0,7,0,4,0,2
chapter_001,ru.job4j.array,MatrixCheck,3,48,1,5,2,8,1,4,0,2
chapter_001,ru.job4j.array,Check,0,27,1,3,0,7,1,3,0,2
chapter_001,ru.job4j.array,ArrayChar,0,32,0,4,0,9,0,4,0,2
chapter_001,ru.job4j.array,Matrix,0,35,0,4,0,6,0,4,0,2
chapter_001,ru.job4j.array,BubbleSort,0,54,0,6,0,8,0,5,0,2
chapter_001,ru.job4j.array,Square,0,25,0,2,0,5,0,3,0,2
chapter_001,ru.job4j.array,SumOfArrays,9,64,2,8,1,9,2,5,0,2
chapter_001,ru.job4j.array,Turn,0,39,0,2,0,6,0,3,0,2
chapter_001,ru.job4j.array,ArrayDuplicate,0,45,0,6,0,9,0,5,0,2
chapter_001,ru.job4j.converter,Converter,0,37,0,0,0,7,0,5,0,5
chapter_001,ru.job4j.calculate,Calculate,4,12,0,0,2,2,1,2,1,2
chapter_001,ru.job4j.loop,Paint,0,112,0,14,0,15,0,15,0,8
chapter_001,ru.job4j.loop,Counter,0,22,0,4,0,6,0,4,0,2
chapter_001,ru.job4j.loop,Board,0,47,0,6,0,11,0,5,0,2
chapter_001,ru.job4j.loop,Factorial,0,18,0,2,0,5,0,3,0,2
chapter_001,puzzle.firuges,Checker,41,0,2,0,9,0,5,0,4,0
chapter_001,puzzle.firuges,Figure,13,0,0,0,3,0,2,0,2,0
chapter_001,puzzle.firuges,Block,19,0,0,0,7,0,5,0,5,0
chapter_001,puzzle.firuges,Cell,56,0,10,0,11,0,8,0,3,0
chapter_001,puzzle,Logic,174,90,26,12,33,17,19,8,6,2
chapter_001,ru.job4j.fit,Fit,0,15,0,0,0,3,0,3,0,3
chapter_001,ru.job4j.condition,DummyBot,0,19,0,4,0,7,0,4,0,2
chapter_001,ru.job4j.point,Triangle,1,98,5,5,0,15,5,4,0,4
chapter_001,ru.job4j.point,Point,71,28,0,0,9,6,1,2,1,2
chapter_001,ru.job4j.max,Max,2,16,1,1,0,3,1,3,0,3
chapter_001,ru.job4j.calculator,Calculator,0,30,0,0,0,10,0,6,0,6
