GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chess1,ru.job4j.chess,Chess,632,0,14,0,117,0,21,0,14,0
chess1,ru.job4j.chess,Logic,158,0,24,0,34,0,18,0,6,0
chess1,ru.job4j.chess.exceptions,ImpossibleMoveException,4,0,0,0,2,0,1,0,1,0
chess1,ru.job4j.chess.exceptions,FigureNotFoundException,4,0,0,0,2,0,1,0,1,0
chess1,ru.job4j.chess.exceptions,OccupiedWayException,4,0,0,0,2,0,1,0,1,0
chess1,ru.job4j.chess.firuges,Cell,783,0,0,0,13,0,2,0,2,0
chess1,ru.job4j.chess.firuges,Figure,11,0,0,0,2,0,1,0,1,0
chess1,ru.job4j.chess.firuges.white,KnightWhite,21,0,0,0,6,0,4,0,4,0
chess1,ru.job4j.chess.firuges.white,BishopWhite,21,0,0,0,6,0,4,0,4,0
chess1,ru.job4j.chess.firuges.white,PawnWhite,21,0,0,0,6,0,4,0,4,0
chess1,ru.job4j.chess.firuges.white,RookWhite,21,0,0,0,6,0,4,0,4,0
chess1,ru.job4j.chess.firuges.white,KingWhite,21,0,0,0,6,0,4,0,4,0
chess1,ru.job4j.chess.firuges.white,QeenWhite,21,0,0,0,6,0,4,0,4,0
chess1,ru.job4j.chess.firuges.black,QeenBlack,21,0,0,0,6,0,4,0,4,0
chess1,ru.job4j.chess.firuges.black,BishopBlack,103,0,10,0,15,0,10,0,5,0
chess1,ru.job4j.chess.firuges.black,KnightBlack,21,0,0,0,6,0,4,0,4,0
chess1,ru.job4j.chess.firuges.black,KingBlack,21,0,0,0,6,0,4,0,4,0
chess1,ru.job4j.chess.firuges.black,PawnBlack,38,0,4,0,9,0,6,0,4,0
chess1,ru.job4j.chess.firuges.black,RookBlack,21,0,0,0,6,0,4,0,4,0
